level1	level2	level3	gene_family
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.1
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00001
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00121
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K04072
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K11440
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13951
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13952
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13953
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13954
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13980
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K18857
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.2
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00002
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K12957
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13979
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.3
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00003
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K12524
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K12525
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.4
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00004
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.6
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00005
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K22251
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.7
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.8
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00006
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.9
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K05351
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.10
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K03331
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.11
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00007
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.12
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.13
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.14
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00008
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.15
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.16
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K21620
